Id;job;sector;Month_salary;13_salary;eventual_salary;indemnity;extra_salary;discount_salary;total_salary
41;PROFESSOR EDUCACAO BASICA I;SPPREV;3387.710;0.000;0.000;0.000;0.000;0.000;3119.180
42;DIRETOR DE ESCOLA;SPPREV;4566.190;0.000;0.000;0.000;0.000;0.000;4131.710
43;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;1311.090;0.000;0.000;0.000;0.000;0.000;1233.880
44;DIRETOR DE ESCOLA;SPPREV;4949.310;0.000;0.000;0.000;0.000;0.000;3402.260
45;PROFESSOR EDUCACAO BASICA I;SPPREV;2610.230;0.000;0.000;0.000;0.000;0.000;1774.730
46;3SGT  PM;SPPREV;5427.330;0.000;0.000;0.000;0.000;0.000;3155.940
47;1SGT  PM;SPPREV;3936.770;0.000;0.000;0.000;0.000;0.000;3858.040
48;AG.SEG.PENITENC.CLASSE IV;SAP;4442.400;0.000;0.000;0.000;0.000;0.000;1880.880
49;PROFESSOR EDUCACAO BASICA II;EDUCACAO;2959.130;0.000;0.000;0.000;0.000;0.000;1316.320
50;STEN  PM;SPPREV;7229.200;0.000;0.000;0.000;0.000;0.000;3603.420
51;ANALISTA SUPORTE GESTAO;PRODESP;10286.190;0.000;0.000;0.000;0.000;0.000;5140.520
52;1TEN  PM;SPPREV;13815.430;0.000;0.000;0.000;0.000;0.000;12476.680
53;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;1154.640;0.000;0.000;0.000;0.000;0.000;1143.100
54;INVESTIGADOR POL.2A CLASSE;SSP;6679.850;0.000;0.000;0.000;974.780;0.000;5497.500
55;DIRETOR DE UNIDADE II;FUND. CASA;9682.400;0.000;0.000;0.000;320.000;0.000;4063.240
56;CEL PM;SPPREV;24099.650;0.000;0.000;0.000;0.000;-2468.600;12534.430
57;INVESTIGADOR POL.CL.ESPECIAL;SPPREV;8810.930;0.000;0.000;0.000;0.000;0.000;5116.300
58;COMPLEM. PENSAO - FEPASA;ADM GERAL;5296.420;0.000;0.000;0.000;0.000;0.000;3021.090
59;PROFESSOR EDUCACAO BASICA I;SPPREV;2113.900;0.000;0.000;0.000;0.000;0.000;2017.910
60;BENEFICIARIO DA POLICIA MILITAR - CBPM;SPPREV;3964.720;0.000;0.000;0.000;0.000;0.000;3913.320
61;AGENTE FISCAL DE RENDAS;SPPREV;31781.540;0.000;12355.590;0.000;0.000;-10150.490;23330.800
62;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;3843.460;0.000;0.000;0.000;0.000;0.000;3840.800
63;PROFESSOR EDUCACAO BASICA II;EDUCACAO;3902.780;0.000;0.000;0.000;0.000;0.000;2897.890
64;PROFESSOR EDUCACAO BASICA I;SPPREV;2774.490;0.000;0.000;0.000;0.000;0.000;2678.890
65;OFICIAL ADMINISTRATIVO;SAUDE;2434.830;0.000;0.000;0.000;392.870;0.000;2386.210
66;CABO  PM;PM;3821.130;0.000;0.000;0.000;601.680;0.000;2824.360
67;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;368.000;0.000;0.000;0.000;0.000;0.000;368.000
68;AG.SEG.PENITENC.CLASSE V;SAP;5681.020;0.000;0.000;0.000;0.000;0.000;3380.990
69;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;368.000;0.000;0.000;0.000;0.000;0.000;368.000
70;ANALISTA ADMINIST FINANCEIRO S;CDHU;12942.880;0.000;0.000;0.000;0.000;0.000;7831.220
71;MEDICO I;SPPREV;5620.430;0.000;0.000;0.000;0.000;0.000;5320.790
72;PROFESSOR EDUCACAO BASICA II;SPPREV;2923.950;0.000;0.000;0.000;0.000;0.000;1839.130
73;AGENTE FISCAL DE RENDAS;SPPREV;35390.440;0.000;11559.890;0.000;0.000;-13759.390;23459.080
74;ESCRIVAO POL.3A CLASSE;SPPREV;6735.130;0.000;0.000;0.000;0.000;0.000;5569.670
75;INVESTIGADOR POL.1A CLASSE;SPPREV;7199.410;0.000;0.000;0.000;0.000;0.000;5431.100
76;PROFESSOR EDUCACAO BASICA I;EDUCACAO;965.480;0.000;0.000;0.000;175.070;0.000;1063.320
77;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;3424.080;0.000;0.000;0.000;0.000;0.000;3424.080
78;INVESTIGADOR POL.3A CLASSE;SPPREV;1696.860;0.000;0.000;0.000;0.000;0.000;1662.930
79;PROFESSOR EDUCACAO BASICA II;SPPREV;3731.830;0.000;0.000;0.000;0.000;0.000;3730.430
80;ASSESSOR EXECUTIVO  I;CPTM;12389.130;0.000;3894.160;0.000;0.000;0.000;12680.560
81;SD 1C PM;PM;3353.690;1117.890;0.000;0.000;0.000;0.000;3932.170
82;CABO  PM;PM;4564.770;0.000;0.000;0.000;601.680;0.000;2503.290
83;INVESTIGADOR POL.2A CLASSE;SPPREV;6787.500;0.000;0.000;0.000;0.000;0.000;5783.300
84;COMPLEM. DE APOSENTADORIA - CESP/CTEEP;ADM GERAL;5194.000;0.000;0.000;0.000;0.000;0.000;1211.520
85;AUXILIAR SERV. GERAIS;SPPREV;2204.910;0.000;0.000;0.000;0.000;0.000;2034.800
86;TECNICO DE APOIO AGROPECUARIO;SPPREV;3947.770;0.000;0.000;0.000;0.000;0.000;3867.420
87;1SGT  PM;SPPREV;6195.830;0.000;0.000;0.000;0.000;0.000;3141.110
88;STEN  PM;SPPREV;6951.160;0.000;0.000;0.000;0.000;0.000;5403.580
89;SD 1C PM;PM;3621.430;0.000;0.000;0.000;551.540;0.000;2865.160
90;CARCEREIRO DE CLASSE ESPECIAL;SPPREV;5690.150;2845.080;0.000;0.000;0.000;0.000;8302.220
91;2SGT  PM;PM;4468.620;1896.170;0.000;0.000;401.120;0.000;5549.810
92;AUXILIAR SERV. GERAIS;SPPREV;937.000;0.000;0.000;0.000;0.000;0.000;918.260
93;2TEN  PM;SPPREV;9558.800;0.000;0.000;0.000;0.000;0.000;6139.070
94;1TEN  PM;PM;11754.090;1959.010;0.000;0.000;426.190;0.000;8011.850
95;1SGT  PM;SPPREV;5467.740;0.000;0.000;0.000;0.000;0.000;4364.300
96;OP TRAN METROV II (TRAFEGO);METRO;9944.020;0.000;0.000;0.000;0.000;0.000;4901.500
97;3SGT  PM;SPPREV;5624.570;0.000;0.000;0.000;0.000;0.000;3309.130
98;3SGT  PM;SPPREV;5427.320;0.000;0.000;0.000;0.000;0.000;2466.880
99;COMPLEMENTACAO APOSENTADORIA;DAEE;1226.980;0.000;0.000;0.000;0.000;0.000;0.000
100;CABO  PM;PM;3767.780;0.000;0.000;0.000;651.820;0.000;2888.950
101;2SGT  PM;PM;11134.470;0.000;0.000;0.000;1537.660;0.000;8837.790
102;AG.SEG.PENITENC.CLASSE IV;SAP;4519.720;0.000;0.000;0.000;0.000;0.000;2230.140
103;OUTROS VINCULOS;SAP;1002.800;0.000;0.000;0.000;0.000;0.000;900.510
104;COMPLEMENTACAO APOSENTADORIA;DAESP;2502.280;0.000;0.000;0.000;0.000;0.000;507.510
105;AGENTE DE ORGANIZACAO ESCOLAR;EDUCACAO;1345.790;224.290;0.000;0.000;210.490;0.000;1605.630
106;BENEFICIARIO DA POLICIA MILITAR - CBPM;SPPREV;4703.750;0.000;0.000;0.000;0.000;0.000;4065.510
107;CABO  PM;PM;4910.980;0.000;0.000;0.000;0.000;0.000;1465.400
108;PROFESSOR EDUCACAO BASICA II;EDUCACAO;785.160;392.580;0.000;0.000;132.890;0.000;1035.520
109;PROFESSOR EDUCACAO BASICA II;EDUCACAO;6308.200;3154.090;695.800;6308.190;213.000;0.000;14155.200
110;COMPLEM. DE APOSENTADORIA - CESP/CTEEP;ADM GERAL;3651.990;0.000;0.000;0.000;0.000;0.000;2062.880
111;PROFESSOR EDUCACAO BASICA II;SPPREV;3813.800;0.000;0.000;0.000;0.000;0.000;3634.790
112;PROFESSOR EDUCACAO BASICA II;SPPREV;3691.050;0.000;0.000;0.000;0.000;0.000;3659.550
113;PROFESSOR EDUCACAO BASICA II;SPPREV;3795.220;0.000;0.000;0.000;0.000;0.000;3634.690
114;OFICIAL ADMINISTRATIVO;SAP;2348.690;0.000;0.000;0.000;158.020;0.000;2128.600
115;MEDICO I;HCFMUSP;5654.880;0.000;0.000;0.000;0.000;0.000;4969.150
116;MEDICO III;SAUDE;9310.140;0.000;0.000;0.000;0.000;0.000;7178.100
117;TECNICO DA FAZENDA ESTADUAL;SPPREV;6798.960;0.000;0.000;0.000;0.000;0.000;4615.500
118;AG.SEG.PENITENC.CLASSE VII;SAP;7398.100;1138.600;0.000;0.000;813.790;0.000;6412.450
119;AG.SEG.PENITENC.CLASSE IV;SAP;4346.270;0.000;342.150;0.000;0.000;0.000;3743.480
120;OUTROS VINCULOS;SAP;200.560;0.000;0.000;0.000;0.000;0.000;188.520
121;1SGT  PM;SPPREV;6038.030;3019.020;0.000;0.000;0.000;0.000;6970.330
122;PROFESSOR EDUCACAO BASICA II;SPPREV;1707.740;0.000;0.000;0.000;0.000;0.000;1634.690
123;SD 1C PM;PM;3955.370;0.000;0.000;0.000;752.100;0.000;3305.350
124;TECNICO EM GESTAO 06;SABESP;3943.840;0.000;0.000;0.000;0.000;0.000;2141.550
125;CABO P.M.;SPPREV;4405.210;0.000;0.000;0.000;0.000;0.000;3304.500
126;CARCEREIRO DE 2A CLASSE;SSP;4956.460;0.000;0.000;0.000;278.750;0.000;2798.280
127;PROFESSOR EDUCACAO BASICA II;EDUCACAO;1509.920;0.000;0.000;0.000;91.800;0.000;1345.050
128;AUXILIAR DE SAUDE;SAUDE;2528.110;0.000;0.000;0.000;426.090;0.000;1770.380
129;AG DE SEGURANCA;CPTM;5385.310;0.000;0.000;0.000;0.000;0.000;4211.030
130;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;3227.910;0.000;0.000;0.000;0.000;0.000;3227.910
131;3SGT  PM;SPPREV;6849.210;0.000;0.000;0.000;0.000;0.000;4031.010
132;BENEFICIARIO DA POLICIA MILITAR - CBPM;SPPREV;2261.450;0.000;0.000;0.000;0.000;0.000;1443.890
133;AUXILIAR DE ENFERMAGEM;SPPREV;2372.460;140.750;0.000;0.000;0.000;0.000;1721.650
134;CABO P.M.;SPPREV;4223.820;0.000;0.000;0.000;0.000;0.000;2475.490
135;PENSAO JUDICIAL;ADM GERAL;312.300;0.000;0.000;0.000;0.000;0.000;312.300
136;AG.SEG.PENITENC.CLASSE III;SAP;4052.450;0.000;0.000;0.000;0.000;0.000;2145.080
137;OUTROS VINCULOS;SAP;601.680;0.000;0.000;0.000;0.000;0.000;557.260
138;1TEN  PM;SPPREV;11754.100;5877.050;0.000;0.000;0.000;0.000;15675.030
139;ENCARREGADO I;DER;1968.410;0.000;0.000;0.000;124.440;0.000;1269.330
140;PROFESSOR EDUCACAO BASICA I;SPPREV;3486.070;0.000;0.000;0.000;0.000;0.000;3279.390
141;AUXILIAR SERV. GERAIS;SPPREV;2700.120;0.000;0.000;0.000;0.000;0.000;2561.690
142;1SGT  PM;SPPREV;6062.530;0.000;0.000;0.000;0.000;0.000;5683.360
143;OFICIAL DE MANUTENCAO ELETRICA;CPTM;5833.450;0.000;0.000;0.000;0.000;0.000;4562.230
144;AG.TELECOM.POL.CL.ESPECIAL;SPPREV;7017.650;0.000;0.000;0.000;0.000;0.000;5545.040
145;PROFESSOR EDUCACAO BASICA II;SPPREV;4631.010;0.000;0.000;0.000;0.000;0.000;4132.540
146;PROFESSOR EDUCACAO BASICA II;SPPREV;4241.650;2120.830;0.000;0.000;0.000;0.000;4749.510
147;PROFESSOR EDUCACAO BASICA II;EDUCACAO;5027.370;0.000;0.000;0.000;0.000;0.000;2923.940
148;PROFESSOR EDUCACAO BASICA I;SPPREV;3554.100;0.000;0.000;0.000;0.000;0.000;3395.390
149;COMPLEM. PENSAO - FEPASA;ADM GERAL;1984.370;0.000;0.000;0.000;0.000;0.000;468.690
150;PROFESSOR EDUCACAO BASICA II;SPPREV;2441.610;0.000;0.000;0.000;0.000;0.000;2286.780
151;1TEN  PM;SPPREV;14270.330;0.000;0.000;0.000;0.000;0.000;7186.530
152;PROFESSOR EDUCACAO BASICA II;EDUCACAO;4267.190;0.000;0.000;0.000;0.000;0.000;2061.910
153;3SGT  PM;SPPREV;5427.330;0.000;0.000;0.000;0.000;0.000;3288.850
154;2SGT  PM;SPPREV;6254.540;0.000;0.000;0.000;0.000;0.000;3825.980
155;ENCARREGADO I;DER;2020.210;668.740;0.000;0.000;0.000;0.000;2393.180
156;3SGT  PM;SPPREV;5427.330;0.000;0.000;0.000;0.000;0.000;4596.550
157;OFICIAL ADMINISTRATIVO;SPPREV;1379.730;689.870;0.000;0.000;0.000;0.000;1900.250
158;PAPILOSC.POLICIAL DE 2A CLASSE;SSP;4559.290;0.000;0.000;0.000;195.820;0.000;3841.490
159;AUXILIAR SERV. GERAIS;SPPREV;2641.000;0.000;0.000;0.000;0.000;0.000;1793.160
160;PROFESSOR EDUCACAO BASICA II;EDUCACAO;2077.750;0.000;0.000;0.000;166.120;0.000;1850.970
161;PROFESSOR EDUCACAO BASICA II;EDUCACAO;1791.170;0.000;0.000;0.000;150.920;0.000;1527.070
162;AGENTE DE APOIO AGROPECUARIO;SAA;4084.490;0.000;0.000;0.000;64.470;0.000;3417.840
163;PROFESSOR EDUCACAO BASICA II;SPPREV;1325.400;0.000;0.000;0.000;0.000;0.000;1297.500
164;COORD DE EQUIPE;FUND. CASA;6716.720;0.000;0.000;0.000;0.000;0.000;3472.010
165;COMPLEM. APOSENT. - FEPASA;ADM GERAL;2242.070;0.000;0.000;0.000;0.000;0.000;459.740
166;1SGT  PM;SPPREV;4920.980;0.000;0.000;0.000;0.000;0.000;2625.040
167;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;3985.300;1328.430;0.000;0.000;0.000;0.000;5013.320
168;COMPLEM. DE APOSENTADORIA - CESP/CTEEP;ADM GERAL;9654.870;0.000;0.000;0.000;0.000;0.000;5522.930
169;PROFESSOR EDUCACAO BASICA II;SPPREV;3437.620;0.000;0.000;0.000;0.000;0.000;2413.200
170;STEN  PM;SPPREV;8925.670;0.000;0.000;0.000;0.000;0.000;6743.260
171;1TEN  PM;SPPREV;14841.140;0.000;0.000;0.000;0.000;0.000;9713.940
172;CEL PM;SPPREV;22325.620;0.000;0.000;0.000;0.000;-694.570;14399.360
173;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;3242.670;0.000;0.000;0.000;0.000;0.000;3242.670
174;AG.SEG.PENITENC.CLASSE V;SAP;4694.730;2347.360;0.000;0.000;0.000;0.000;4886.120
175;OUTROS VINCULOS;SAP;200.560;0.000;0.000;0.000;0.000;0.000;184.570
176;CIRURGIAO DENTISTA;SAP;3919.310;0.000;0.000;0.000;0.000;0.000;2430.390
177;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;1466.740;0.000;0.000;0.000;0.000;0.000;1025.040
178;OFICIAL ADMINISTRATIVO;SPPREV;1317.460;0.000;0.000;0.000;0.000;0.000;1264.990
179;CABO  PM;PM;5050.980;0.000;0.000;0.000;100.280;0.000;3052.880
180;TECNICO EM GESTAO 09;SABESP;1879.290;0.000;2435.630;0.000;0.000;0.000;0.000
181;CABO  PM;PM;3767.780;0.000;0.000;0.000;651.820;0.000;2957.860
182;SD 10 CLASSE PM;SPPREV;4238.850;0.000;0.000;0.000;0.000;0.000;2872.730
183;PESQUISADOR CIENTIFICO VI;SPPREV;18421.180;0.000;0.000;0.000;0.000;0.000;12487.510
184;CABO  PM;PM;4062.210;0.000;0.000;0.000;451.260;0.000;3470.890
185;2TEN  PM;SPPREV;8769.790;4384.900;0.000;0.000;0.000;0.000;11272.570
186;CABO  PM;PM;5068.780;0.000;0.000;0.000;752.100;0.000;2669.710
187;PROFESSOR EDUCACAO BASICA II;EDUCACAO;3533.330;0.000;0.000;0.000;76.800;0.000;3022.390
188;PROFESSOR EDUCACAO BASICA II;EDUCACAO;3289.830;0.000;0.000;0.000;15.200;0.000;2618.990
189;AUXILIAR SERV. GERAIS;SPPREV;1591.590;0.000;0.000;0.000;0.000;0.000;1520.080
190;AGENTE POLICIAL DE 2A CLASSE;SSP;4956.460;0.000;0.000;0.000;240.000;0.000;2675.770
191;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;3466.430;0.000;0.000;0.000;0.000;0.000;3466.430
192;MEDICO I;SAUDE;0.000;0.000;0.000;0.000;0.000;0.000;0.000
193;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;1792.230;896.110;0.000;0.000;0.000;0.000;2670.420
194;CAP PM;SPPREV;13494.960;0.000;0.000;0.000;0.000;0.000;5885.460
195;MEDICO I;HCFMRP;15119.570;0.000;0.000;0.000;0.000;0.000;11494.210
196;PROFESSOR EDUCACAO BASICA II;SPPREV;3087.990;0.000;0.000;0.000;0.000;0.000;1866.440
197;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;1331.750;0.000;0.000;0.000;0.000;0.000;1331.750
198;PROFESSOR EDUCACAO BASICA II;EDUCACAO;5190.890;2595.440;0.000;0.000;856.480;0.000;7015.550
199;AUXILIAR SERV. GERAIS;SPPREV;1104.000;0.000;0.000;0.000;0.000;0.000;1058.830
200;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;181.030;0.000;0.000;0.000;0.000;0.000;181.030
201;COMPLEMENTACAO APOSENTADORIA;DAEE;1412.510;0.000;0.000;0.000;0.000;0.000;423.290
202;INVESTIGADOR POL.CL.ESPECIAL;SSP;8715.260;0.000;1129.960;0.000;1267.970;0.000;5643.760
203;AUX.PAPILOSC.POL.CL.ESPECIAL;SPPREV;6809.460;0.000;0.000;0.000;0.000;0.000;5025.500
204;AUXILIAR SERV. GERAIS;SPPREV;1762.480;0.000;0.000;0.000;0.000;0.000;1725.840
205;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;1068.360;0.000;0.000;0.000;0.000;0.000;1068.360
206;CABO  PM;PM;4910.980;0.000;0.000;0.000;501.400;0.000;4168.280
207;AG.SEG.PENITENC.CLASSE III;SAP;3898.990;0.000;0.000;0.000;68.830;0.000;2250.230
208;OUTROS VINCULOS;SAP;200.560;0.000;0.000;0.000;0.000;0.000;189.510
209;PROFESSOR DE ENSINO MED E TEC;CEETEPS;727.350;0.000;106.180;0.000;0.000;0.000;663.980
210;CABO  PM;PM;7085.030;2301.850;200.560;0.000;752.100;0.000;6668.580
211;CHEFE I;SPPREV;2111.090;0.000;0.000;0.000;0.000;0.000;2022.670
212;PROFESSOR EDUCACAO BASICA II;EDUCACAO;2657.460;1328.730;0.000;0.000;484.230;0.000;2901.120
213;PROFESSOR EDUCACAO BASICA II;SPPREV;2756.730;1378.370;0.000;0.000;0.000;0.000;3182.520
214;AGENTE DE APOIO AGROPECUARIO;SPPREV;3066.680;0.000;0.000;0.000;0.000;0.000;3003.950
215;AUXILIAR SERV. GERAIS;DER;1799.580;0.000;0.000;0.000;201.110;0.000;1744.450
216;3SGT  PM;SPPREV;4015.880;2007.940;0.000;0.000;0.000;0.000;3684.130
217;2TEN  PM;SPPREV;8769.790;0.000;0.000;0.000;0.000;0.000;6215.860
218;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;2946.630;0.000;0.000;0.000;0.000;0.000;2946.630
219;3SGT  PM;SPPREV;5427.320;0.000;0.000;0.000;0.000;0.000;4377.050
220;PROFESSOR EDUCACAO BASICA II;EDUCACAO;4778.230;2389.110;0.000;0.000;0.000;0.000;5926.670
221;AUXILIAR SERV. GERAIS;SPPREV;1993.610;0.000;0.000;0.000;0.000;0.000;1602.030
222;1SGT  PM;SPPREV;6490.870;0.000;0.000;0.000;0.000;0.000;4009.980
223;3SGT  PM;PM;5399.580;1799.860;0.000;0.000;1346.050;0.000;7149.860
224;DIRETOR TECNICO DE SAUDE I;HCFMRP;4656.110;0.000;0.000;0.000;0.000;0.000;3850.220
225;AUXILIAR SERV. GERAIS;SSP;3041.000;1013.660;0.000;0.000;153.680;0.000;2822.530
226;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;6071.170;0.000;0.000;0.000;0.000;0.000;3664.790
227;ESCRIVAO POL.CLASSE ESPECIAL;SPPREV;8025.470;0.000;0.000;0.000;0.000;0.000;4739.400
228;BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP;SPPREV;3227.910;0.000;0.000;0.000;0.000;0.000;3227.910
229;AG.SEG.PENITENC.CLASSE IV;SAP;5254.240;2627.110;62.540;5254.230;15.200;0.000;10526.310
230;AGENTE FISCAL DE RENDAS;SPPREV;36592.300;0.000;11309.470;0.000;0.000;-14961.250;22989.590
231;OFICIAL OPERACIONAL;SPPREV;1858.820;0.000;0.000;0.000;0.000;0.000;1799.960
232;DELEGADO POLICIA 3A CLASSE;SPPREV;5886.270;0.000;0.000;0.000;0.000;0.000;5080.840
233;DELEGADO POLICIA 1A CLASSE;SPPREV;13545.080;0.000;0.000;0.000;0.000;0.000;5867.730
234;3SGT  PM;SPPREV;5427.320;0.000;0.000;0.000;0.000;0.000;4525.770
235;TECNICO EM GESTAO 08;SABESP;4484.200;0.000;0.000;0.000;0.000;0.000;2350.660
236;PROFESSOR EDUCACAO BASICA II;EDUCACAO;2464.190;0.000;0.000;0.000;125.040;0.000;2242.750
237;CABO  PM;PM;5684.420;0.000;0.000;0.000;0.000;0.000;4230.350
238;AG.TELECOM.POL.1A.CLASSE;SPPREV;6810.630;3405.320;0.000;0.000;0.000;0.000;9390.300
239;AUXILIAR SERV. GERAIS;SPPREV;1963.160;0.000;1963.160;0.000;0.000;0.000;3846.400
240;3SGT  PM;SPPREV;5427.330;0.000;0.000;0.000;0.000;0.000;3777.350
241;ENCARREGADO I;SPPREV;1453.730;0.000;0.000;0.000;0.000;0.000;1013.780
242;AGENTE POLICIAL DE 2A CLASSE;SSP;4099.560;280.840;2110.840;0.000;90.980;0.000;5127.610
243;ESPECIAL. PROT. DEFES. CONSUM IV;PROCON;8369.570;0.000;0.000;0.000;0.000;0.000;6522.480
244;MEDICO I;HCFMUSP;16500.660;0.000;2261.940;0.000;0.000;0.000;12697.900
245;3SGT  PM;SPPREV;5427.330;0.000;0.000;0.000;0.000;0.000;3488.490
246;CHEFE II;SPPREV;3319.930;0.000;0.000;0.000;0.000;0.000;3287.030
247;3SGT  PM;SPPREV;5427.330;0.000;0.000;0.000;0.000;0.000;3655.790
248;AGENTE DE ORGANIZACAO ESCOLAR;EDUCACAO;1302.580;0.000;0.000;0.000;210.640;0.000;934.280
249;SD 2C PM;PM;3034.050;0.000;0.000;0.000;501.400;0.000;3081.310
250;CABO  PM;PM;5713.220;0.000;0.000;0.000;727.030;0.000;3970.700
251;MEDICO II;SAUDE;7955.150;0.000;0.000;0.000;0.000;0.000;4613.210
252;PROFESSOR DE ENSINO MED E TEC;CEETEPS;9878.280;0.000;0.000;0.000;0.000;0.000;5834.850
253;AGENTE DE ORGANIZACAO ESCOLAR;EDUCACAO;1104.000;0.000;0.000;0.000;138.960;0.000;802.070
